label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_174.03DEC-32.29,49,83.12871118469883
RA_174.06DEC-32.68,58,82.22671538161165
RA_174.08DEC-32.55,68,89.89919641217047
RA_174.14DEC-32.01,30,261.361059596863
RA_174.16DEC-32.50,79,108.86180887623435
RA_174.17DEC-29.83,30,214.5359861098505
RA_174.17DEC-32.93,80,308.6759502475744
RA_174.23DEC-31.75,79,188.59538941971113
RA_174.24DEC-32.48,79,383.3253497446271
RA_174.26DEC-32.99,30,1707.1048315714108
RA_174.43DEC-30.31,78,135.9997679404379
RA_174.45DEC-31.22,28,1297.6594727593726
RA_174.48DEC-31.21,78,107.60804221455743
RA_174.52DEC-31.62,34,80.68734117391924
RA_174.60DEC-31.64,75,96.83127928526609
RA_174.62DEC-30.29,75,134.55890464457457
RA_174.74DEC-30.51,65,88.49587921995294
RA_174.74DEC-32.69,52,82.85218192731739
RA_174.77DEC-30.88,73,310.7606807227997
RA_174.80DEC-31.04,73,198.6345625155002
RA_174.82DEC-30.35,25,390.5327258866128
RA_174.85DEC-31.21,73,357.53339659685525
RA_174.89DEC-29.70,24,100.18555027495258
RA_174.89DEC-30.48,24,145.6362526962594
RA_174.91DEC-32.60,25,193.2925386443286
RA_174.92DEC-32.49,51,84.01055851974888
RA_174.93DEC-31.56,71,114.53456396035273
RA_174.93DEC-31.67,71,97.91620446715494
RA_174.99DEC-31.43,70,101.43494142702603
RA_175.00DEC-30.48,23,573.6979418930677
RA_175.00DEC-31.71,52,86.35963101577144
RA_175.05DEC-31.79,67,95.03437825086208
RA_175.09DEC-29.81,22,112.35689741965656
RA_175.13DEC-31.54,43,80.06429046315922
RA_175.16DEC-30.14,22,234.24007301199347
RA_175.21DEC-31.05,63,90.55860571474572
RA_175.28DEC-29.73,21,174.13897582606498
RA_175.28DEC-30.28,65,200.03177628152744
RA_175.30DEC-32.14,65,116.27053022276861
RA_175.33DEC-32.14,65,110.52706455007302
RA_175.37DEC-30.21,49,87.9652393223145
RA_175.40DEC-30.93,30,81.12586050040845
RA_175.43DEC-32.50,20,4439.814293347355
RA_175.45DEC-32.49,63,512.6054879300541
RA_175.47DEC-32.55,63,283.4026083565006
RA_175.48DEC-29.91,13,71.54677036726933
RA_175.61DEC-30.04,23,86.87968632120727
RA_175.65DEC-29.64,18,884.7302752204316
