# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:57:22.122
# DATE-END: 2025-01-20T21:57:23.181
# TSTART: 1737410242121.92
# TSTOP: 1737410243121.92
# DATE: 2025-01-20T21:57:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.170781012089
# DEC: 22.0159878940876
# EQUINOX: 2000.0
# CRVAL1: 84.170781012089
# CRVAL2: 22.0159878940876
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.0010330125068407
# CD1_2: 0.00150594349664325
# CD2_1: -0.00150578937258316
# CD2_2: -0.00103317584371109
# A_ORDER: 2
# A_0_2: -4.44537562550544e-08
# A_1_1: 1.48893315318093e-07
# A_2_0: -2.71736979663917e-07
# B_ORDER: 2
# B_0_2: -8.48010090227836e-09
# B_1_1: -2.44714237235804e-07
# B_2_0: 3.6253694902371e-07
# AP_ORDER: 2
# AP_0_0: 2.65146200133515e-06
# AP_0_1: -1.61250859088113e-07
# AP_0_2: 4.44528546633007e-08
# AP_1_0: 3.24705115448576e-07
# AP_1_1: -1.48889932672879e-07
# AP_2_0: 2.71731616407849e-07
# BP_ORDER: 2
# BP_0_0: -3.81771220592242e-06
# BP_0_1: 1.9624573404538e-07
# BP_0_2: 8.48089577582154e-09
# BP_1_0: -4.48220434880116e-07
# BP_1_1: 2.44709917903427e-07
# BP_2_0: -3.62529069419457e-07
# NOME_FILE: 20250120_215722.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
33,1235.0667375723992,283.7031023673832,83.2968841789843,23.227631921834703,7.0,18.0,NO,114,73.9887170157168,75.69051796753072,95.36,0.89,75.69051796753072,95.36,0.89,51.2033341842635,65.00,0.82,3.5,NO,,INT_56,,,,75.69,95.36,0.89,3.5
34,1427.332799230465,284.80165800996645,83.08491648703978,22.935801811499378,14.0,20.0,NO,115,159.15748881824504,132.77466511688382,154.10,0.98,132.77466511688382,154.10,0.98,115.57228063575376,131.01,0.85,3.5,NO,,INT_49,,,,132.77,154.10,0.98,3.5
35,1157.0500928904046,286.9784047523532,83.38929440900904,23.342148046126155,26.0,45.0,NO,115,298.9509624189491,290.8513248187623,306.20,1.24,290.8513248187623,307.07,1.31,283.83733369938045,294.60,1.30,3.5,NO,,INT_61,,,,290.85,307.07,1.31,3.5
36,2422.861703886657,288.8427404533558,82.00017323196052,21.422381680503225,8.0,15.0,NO,81,77.60305865908832,78.1503994605093,99.80,1.39,78.1503994605093,99.80,1.39,54.38399523470793,67.95,1.64,3.5,NO,,INT_465,,,,78.15,99.81,1.39,3.5
37,1108.68928104705,295.9701955433086,83.45811773396784,23.40596772808136,7.0,18.0,NO,115,87.45229676158547,89.14208539490565,100.21,0.95,89.14208539490565,100.21,0.95,55.42182835419277,69.54,0.92,3.5,NO,,INT_64,,,,89.14,100.21,0.95,3.5
38,1281.0331954759786,299.43312858341005,83.2715463672382,23.14206141920626,49.0,104.0,NO,115,753.87778561312,710.7973989550394,775.86,2.79,714.0371843579618,786.27,2.98,710.7843375620428,784.57,2.88,4.17139778767078,NO,,INT_57,,,,714.04,786.27,2.98,4.17
39,2119.9205728934785,314.3660018543851,82.37123013734472,21.85636519011329,11.0,22.0,NO,115,107.1095770941608,105.48222928683596,108.48,0.98,105.48222928683596,108.48,0.98,78.77485902629658,80.25,0.95,3.5,NO,,INT_32,,,,105.48,108.48,0.98,3.5
40,2390.245348110314,316.2830405570353,82.08026621375997,21.44414173506613,30.0,47.0,NO,114,352.5305151137458,334.1554962612568,327.78,1.83,334.1554962612568,328.96,1.89,316.57628127993706,315.36,1.81,3.536536376291184,NO,,INT_25,,,,334.16,328.96,1.89,3.54
41,2334.526292358122,326.4612806314123,82.15732955994933,21.51842440330421,32.0,51.0,NO,115,415.1426784029614,394.5441697901791,430.06,2.07,394.5441697901791,432.32,2.21,370.80263292250805,419.24,2.17,3.579994887698444,NO,,INT_28,,,,394.54,432.32,2.21,3.58
42,17.013079312096213,327.76436149663687,84.74680392937222,25.0150793867438,4.0,10.0,NO,20,79.02130002129276,79.09601280222908,77.57,1.94,79.09601280222908,77.57,1.94,23.24312071299762,34.12,2.62,3.5,NO,,INT_674,,,,79.1,77.57,1.94,3.5
43,579.2680115616193,329.996602958655,84.10979470595078,24.16890471783708,10.0,16.0,NO,115,113.7168036939776,108.56448908149495,115.43,1.11,108.56448908149495,115.43,1.11,75.23910041807545,81.64,1.13,3.5,NO,,INT_91,,,,108.56,115.43,1.11,3.5
44,1231.9276640453595,344.4993243069841,83.40032788818921,23.170105083836425,6.0,18.0,NO,111,70.36441885140526,71.87954271400449,82.08,0.96,71.87954271400449,82.08,0.96,45.413223956456456,46.34,1.17,3.5,NO,,INT_74,,,,71.88,82.08,0.96,3.5
45,717.40485245387,359.3357891368748,84.00202581648954,23.93079281385104,11.0,18.0,NO,115,109.86326073238924,100.54243333228364,107.99,0.92,100.54243333228364,107.99,0.92,73.93898615889321,77.39,0.96,3.5,NO,,INT_92,,,,100.54,107.99,0.92,3.5
46,1926.0396588218075,376.994380315515,82.68576092764926,22.086655290797903,9.0,16.0,NO,115,105.26078668974355,106.57383264014,115.94,1.09,106.57383264014,115.94,1.09,63.7050030186107,89.53,1.15,3.5,NO,,INT_53,,,,106.57,115.94,1.09,3.5
47,1348.7735158848757,379.8458323949821,83.32823248650769,22.95735308899218,29.0,65.0,NO,115,343.69386950979924,332.2328533237113,392.54,1.53,332.2328533237113,394.85,1.63,328.30361887790093,386.24,1.54,3.5,NO,,INT_77,,,,332.23,394.85,1.63,3.5
48,499.13308127147263,382.5198403803144,84.2872965325468,24.23517671515909,20.0,28.0,NO,115,197.46962129398105,193.1471205787276,203.48,1.20,193.1471205787276,203.69,1.23,177.91107274161908,178.00,1.18,3.5,NO,,INT_106,,,,193.15,203.69,1.23,3.5
49,1595.5921525596773,383.22475240846586,83.05999411518124,22.58067298275628,5.0,16.0,NO,115,70.94521563545823,72.99303222316233,86.60,0.93,72.99303222316233,86.60,0.93,40.55376423273456,50.98,1.02,3.5,NO,,INT_68,,,,72.99,86.60,0.93,3.5
50,2261.1649320512333,390.08721191724055,82.34085552855602,21.565228630099824,8.0,17.0,NO,166,84.56934208618324,85.80395461315896,89.35,1.03,85.80395461315896,89.35,1.03,56.08540818961776,49.03,1.30,3.5,NO,,INT_435,,,,85.8,89.35,1.03,3.5
51,1828.8882047875527,392.3248569590228,82.81756325753794,22.218214744965856,11.0,27.0,NO,26,96.1750123045424,98.54856171645172,102.61,3.40,98.54856171645172,102.61,3.40,83.2333595631132,70.66,4.28,3.5,NO,,INT_505,,,,98.55,102.61,3.40,3.5
52,2037.028500208996,404.0067256921101,82.60825232310738,21.890954193905024,9.0,15.0,NO,75,96.25471923710464,95.54825966904968,87.94,1.34,95.54825966904968,87.94,1.34,53.58138882839213,45.87,1.64,3.5,NO,,INT_459,,,,95.55,87.94,1.34,3.5
53,2293.8337538853825,404.1531662303372,82.32823194621727,21.501393793541908,6.0,16.0,NO,82,69.58031493658746,71.05231374143882,86.11,1.19,71.05231374143882,86.11,1.19,34.25061201034958,49.82,1.26,3.5,NO,,INT_44,,,,71.05,86.11,1.19,3.5
54,1833.916705273879,413.9558532328573,82.84740431766683,22.18854251306443,22.0,43.0,NO,115,225.0156881531608,218.7276488819992,229.74,1.36,218.7276488819992,229.84,1.38,205.4149384922016,213.13,1.42,3.5,NO,,INT_62,,,,218.73,229.84,1.38,3.5
