# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:38:24.384
# DATE-END: 2025-01-20T21:38:25.443
# TSTART: 1737409104383.97
# TSTOP: 1737409105383.98
# DATE: 2025-01-20T21:38:27
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1735603968194
# DEC: 22.0169129400305
# EQUINOX: 2000.0
# CRVAL1: 84.1735603968194
# CRVAL2: 22.0169129400305
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000829262326911753
# CD1_2: 0.00162718300191856
# CD2_1: -0.00162661357277892
# CD2_2: -0.000829577175965003
# A_ORDER: 2
# A_0_2: -9.44343595530208e-08
# A_1_1: 8.23019614647906e-08
# A_2_0: -1.15080770945975e-07
# B_ORDER: 2
# B_0_2: 9.65064630668827e-08
# B_1_1: 2.33578604115078e-08
# B_2_0: 1.74983935702629e-07
# AP_ORDER: 2
# AP_0_0: 1.33646096471078e-07
# AP_0_1: -6.69017451909132e-08
# AP_0_2: 9.44345216055104e-08
# AP_1_0: 7.31002233309485e-08
# AP_1_1: -8.23015532925985e-08
# AP_2_0: 1.15080326000137e-07
# BP_ORDER: 2
# BP_0_0: -1.00852074957913e-07
# BP_0_1: 6.12841246098713e-08
# BP_0_2: -9.65065268337841e-08
# BP_1_0: -6.32201973183082e-08
# BP_1_1: -2.33583553991748e-08
# BP_2_0: -1.74983581665072e-07
# NOME_FILE: 20250120_213824.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_031.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
31,1096.1211426472046,217.3139519591508,83.14273413892056,23.394304625425114,18.0,29.0,NO,115,179.18604072528765,174.03670223765047,183.95,1.10,174.03670223765047,183.95,1.10,147.74186963569505,163.98,1.05,3.5,NO,,INT_35,,,,174.04,183.95,1.10,3.5
32,422.52799004191854,224.494569128024,83.76102152877827,24.48554166597579,4.0,12.0,NO,69,70.02526219162954,70.77113519638648,81.99,1.22,70.77113519638648,81.99,1.22,13.95152331955685,32.92,1.52,3.5,NO,,INT_42,,,,70.77,81.99,1.22,3.5
33,2238.766327921101,228.1112779075204,82.15743861421942,21.518405847181427,37.0,52.0,NO,115,445.7425361966608,418.743614950278,430.06,2.07,420.3444311836445,432.32,2.21,412.6844445228949,419.24,2.17,3.883553107515348,NO,,INT_28,,,,420.34,432.32,2.21,3.88
34,1656.999978645108,237.2410314326133,82.68145157627114,22.462275360065128,128.0,254.0,SI,115,3208.1492749857025,3012.781980317573,2998.77,7.12,3035.788296151956,3046.05,7.28,3162.598650318137,3158.40,7.40,5.949240030952576,SI (Rank 1),I/239/hip_main,25806.0,82.6806152023,22.4622546563,6.29,3089.3,3096.53,6.83,6.34
35,2024.3554460524856,243.92024570320373,82.3716148547146,21.856319013741896,11.0,17.0,NO,115,115.59225948762308,112.76856619688446,108.48,0.98,112.76856619688446,108.48,0.98,82.57293476137512,80.25,0.95,3.5,NO,,INT_32,,,,112.77,108.48,0.98,3.5
36,1061.5095588866363,248.48482952255043,83.22901728229778,23.425262532859268,4.0,11.0,NO,29,55.74792212524642,58.12465832293963,69.99,1.02,58.12465832293963,69.99,1.02,14.917135843501244,22.44,1.11,3.5,NO,,INT_41,,,,58.12,69.99,1.02,3.5
37,1703.5659897901228,253.6188150043048,82.66946309426243,22.372863353831903,29.0,45.0,NO,115,322.96565468652176,299.31759384467694,295.10,1.36,299.31759384467694,295.65,1.42,282.6401054082834,278.10,1.42,3.530498316101902,NO,,INT_37,,,,299.32,295.65,1.42,3.53
38,241.31975664410052,262.1554482014196,83.99307816772496,24.748963262103675,27.0,31.0,NO,103,275.01973343350664,260.30996341365324,267.35,1.88,261.9444724706533,268.49,1.95,245.7695389788664,246.70,1.69,3.8370692895194254,NO,,INT_50,,,,261.94,268.49,1.95,3.84
39,370.5515943237861,269.9590704641825,83.88948509842587,24.532578020260377,16.0,20.0,NO,113,164.45711917380942,156.12825324633724,177.86,1.48,156.12825324633724,178.01,1.50,118.32814858303142,152.27,1.48,3.5,NO,,INT_52,,,,156.13,178.01,1.50,3.5
40,517.1475604938922,274.5372414830869,83.76474935404521,24.290471321665283,96.0,154.0,NO,115,1918.354156322356,1801.0420558548965,1748.42,5.28,1833.349280505478,1766.36,5.73,1894.5999244596585,1791.64,6.72,5.944859872376124,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82,1839.29,1797.70,5.52,6.01
