label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE,numero_di_run,Mag_estratta_max
RA_157.09DEC64.34,40,74.99912000871828,2,10.888142633182316
RA_159.85DEC48.81,25,164.9516277464616,2,10.224346783184396
RA_160.03DEC46.84,22,1010.7652419590044,2,8.197835906438087
RA_160.14DEC47.00,22,104.74256519715053,2,10.761168283122954
RA_160.26DEC48.99,22,145.39272232869166,3,10.409878607787416
RA_160.27DEC48.57,22,269.17784974851054,2,9.703556659826276
RA_160.32DEC48.65,20,77.0302223958416,2,11.006276509395004
RA_160.50DEC46.65,19,370.1930285564976,2,9.35333237949524
RA_160.63DEC48.00,18,382.9252722600864,2,9.25000154902006
RA_160.67DEC48.18,18,93.81950082771516,2,10.752078677588727
RA_160.73DEC46.69,17,251.19521770432888,2,9.804478143168406
RA_160.89DEC48.22,16,510.4059831812891,2,8.874723306760059
RA_161.00DEC47.17,15,312.5200968863956,2,9.483404036233582
RA_161.03DEC48.57,16,91.5206668454009,2,10.686378379922512
RA_161.04DEC47.21,15,154.04170105576162,2,10.194692685724858
RA_161.20DEC47.29,10,70.07445100215315,2,11.034997271622473
RA_161.23DEC48.55,14,518.2187203535071,2,8.83820363775762
RA_161.47DEC47.86,12,98.1071632734238,2,10.59589799130876
RA_164.55DEC-31.79,16,136.3059822965074,2,10.47689260300553
RA_164.62DEC-32.11,18,117.07163003229928,2,10.629119434307752
RA_164.62DEC-32.78,18,309.0652844911835,2,9.618424642709414
RA_164.65DEC-31.04,18,169.1603647125176,2,10.178712719255962
RA_164.72DEC-31.17,13,85.07576253168158,2,10.941942223460371
RA_164.76DEC7.03,38,83.26727864082056,2,11.436293287906638
RA_164.78DEC7.42,39,102.61924764936224,2,11.105253355151856
RA_164.78DEC9.45,34,72.11688472263498,2,11.645657140494436
RA_164.79DEC6.93,39,336.8314055989096,2,9.347324499078471
RA_164.87DEC9.98,38,98.69367767532955,2,11.273618024958507
RA_164.88DEC7.22,38,417.8967722893845,2,9.072744046069433
RA_164.89DEC-33.08,25,602.4113330152024,2,9.01257296330746
RA_164.89DEC9.93,38,1074.32972275006,2,7.769106452011847
RA_164.90DEC-30.97,24,98.16291882417578,2,10.776143195360516
RA_164.90DEC-31.36,24,124.50972910187778,2,10.636229814398604
RA_164.90DEC-33.05,25,114.92631289944332,2,10.639000982130078
RA_164.93DEC-32.24,26,355.3068145206158,2,9.522367743458291
RA_165.08DEC-33.12,29,116.85153667825496,2,10.750135292657763
RA_165.11DEC8.54,34,69.58842041985281,2,11.665370248702231
RA_165.14DEC7.05,35,90.24161411577388,2,11.346301750863216
RA_165.23DEC-32.59,28,94.72601203769148,2,10.791499388008647
RA_165.24DEC7.62,35,219.3787043187492,2,9.931245899255858
RA_165.25DEC-31.80,32,178.5196420374037,2,10.242622782600476
RA_165.26DEC-31.79,32,111.09998490460582,2,10.715759899358222
RA_165.29DEC-31.24,30,100.0749977975393,2,10.792988282179229
RA_165.29DEC-33.10,32,108.68086170697248,2,10.742447713337068
RA_165.33DEC-31.71,32,108.85427866728112,2,10.826099675199668
RA_165.36DEC-32.40,33,110.56606043624478,2,10.749877479686765
RA_165.37DEC-32.06,33,170.5405166155233,2,10.253508215357522
RA_165.39DEC-31.73,27,96.51871701825456,2,10.759153354768957
RA_165.45DEC6.87,33,103.161450506243,2,11.350683745398156
RA_165.55DEC9.75,33,157.45930163892547,2,10.45921619186489
RA_165.55DEC9.90,33,237.0981398140463,2,9.988554477018706
RA_165.56DEC8.87,33,205.23481418488612,2,10.136505223842436
RA_165.57DEC10.15,32,111.23450224776218,2,11.03896129990714
RA_165.59DEC8.61,32,197.11229715825624,2,10.364576345680224
RA_165.64DEC-32.19,35,131.16062328205803,2,10.460918014661084
RA_165.64DEC9.17,32,1098.9369407273357,2,7.769276004854063
RA_165.65DEC10.33,24,75.89343040093962,2,11.569545005187544
RA_165.65DEC8.14,32,109.3894384367962,2,11.064611911263318
RA_165.68DEC-30.57,26,85.1469359803312,2,10.893339854964491
RA_165.75DEC9.13,30,79.32654765597276,2,11.456147744175173
RA_165.77DEC-30.50,35,94.46386607450668,2,10.78544615174624
RA_165.77DEC-31.49,28,80.92680055659864,2,10.938223503306718
RA_165.81DEC8.19,31,155.7231521335398,2,10.670359591866568
RA_165.82DEC-30.72,36,167.6174608605255,2,10.248980103859276
RA_165.82DEC-31.89,37,225.227320356382,2,10.00239215078702
RA_165.86DEC-30.50,28,88.31918829962116,2,10.882811413893986
RA_165.90DEC-30.26,37,340.3236541989994,2,9.6047803154668
RA_165.92DEC7.02,30,166.7637348279534,2,10.53717543022156
RA_165.92DEC7.58,30,1030.893418224099,2,7.757096615082916
RA_165.92DEC9.32,23,70.82969906169292,2,11.685212136518608
RA_165.93DEC8.73,30,525.853684952853,2,8.813077736679956
RA_165.99DEC9.95,29,546.6444524581613,2,8.85475447789638
RA_166.01DEC-31.15,34,89.36888095608882,2,10.865620739466758
RA_166.05DEC-31.55,38,150.6458940883994,2,10.434073590209186
RA_166.05DEC8.17,29,127.63049215396158,2,10.917011913238476
RA_166.06DEC-30.51,20,72.92205460342647,2,11.032069079951142
RA_166.09DEC-31.98,39,192.13193785139012,2,10.109148223363404
RA_166.16DEC-30.04,37,102.5427613035815,2,10.768915974818684
