"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Apr 06 2009","2454927.999988426","260712001","138.54","1.40e-7","3.10e-8","-1.74","-","137.11","1e-8","0","bin82.log"
"Apr 09 2009","2454930.999988426","260971201","103.82","1.56e-7","3.20e-8","-1.74","-","136.01","1e-8","0","bin83.log"
"Apr 12 2009","2454933.999988426","261230401","129.42","1.47e-7","3.10e-8","-1.74","-","134.73","1e-8","0","bin84.log"
"Apr 15 2009","2454936.999988426","261489601","179.19","1.54e-7","3.00e-8","-1.74","-","133.28","1e-8","0","bin85.log"
"Apr 18 2009","2454939.999988426","261748801","112.32","1.24e-7","2.93e-8","-1.74","-","131.66","1e-8","0","bin86.log"
"Apr 21 2009","2454942.999988426","262008001","132.69","1.52e-7","3.30e-8","-1.74","-","129.90","1e-8","0","bin87.log"
"Apr 24 2009","2454945.999988426","262267201","36.13","9.61e-8","2.91e-8","-1.74","-","128.00","1e-8","0","bin88.log"
"Apr 27 2009","2454948.999988426","262526401","98.31","1.74e-7","3.70e-8","-1.74","-","125.97","1e-8","0","bin89.log"
"Apr 30 2009","2454951.999988426","262785601","55.04","9.33e-8","2.89e-8","-1.74","-","123.82","1e-8","0","bin90.log"
"May 03 2009","2454954.999988426","263044801","54.2","9.03e-8","3.12e-8","-1.74","-","121.57","1e-8","0","bin91.log"
"May 06 2009","2454957.999988426","263304001","52.61","1.31e-7","4.13e-8","-1.74","-","119.21","1e-8","0","bin92.log"
"May 09 2009","2454960.999988426","263563201","14.91","6.28e-8","2.89e-8","-1.74","-","116.76","1e-8","0","bin93.log"
"May 12 2009","2454963.999988426","263822401","87.27","1.65e-7","4.20e-8","-1.74","-","114.23","1e-8","0","bin94.log"
"May 15 2009","2454966.999988426","264081601","189.35","2.26e-7","4.10e-8","-1.74","-","111.63","1e-8","0","bin95.log"
"May 18 2009","2454969.999988426","264340801","171.15","1.94e-7","3.80e-8","-1.74","-","108.96","1e-8","0","bin96.log"
"May 21 2009","2454972.999988426","264600001","206.53","2.44e-7","4.00e-8","-1.74","-","106.23","1e-8","0","bin97.log"
"May 24 2009","2454975.999988426","264859201","166.9","2.05e-7","3.80e-8","-1.74","-","103.44","1e-8","0","bin98.log"
"May 27 2009","2454978.999988426","265118401","112.64","1.46e-7","3.00e-8","-1.74","-","100.60","1e-8","0","bin99.log"
"May 30 2009","2454981.999988426","265377601","111.47","1.70e-7","3.30e-8","-1.74","-","97.72","1e-8","0","bin100.log"
"Jun 02 2009","2454984.999988426","265636801","185.65","1.99e-7","3.30e-8","-1.74","-","94.81","1e-8","0","bin101.log"
"Jun 05 2009","2454987.999988426","265896001","180.24","2.24e-7","3.80e-8","-1.74","-","91.86","1e-8","0","bin102.log"
"Jun 08 2009","2454990.999988426","266155201","131.24","1.42e-7","2.90e-8","-1.74","-","88.89","1e-8","0","bin103.log"
"Jun 11 2009","2454993.999988426","266414401","229.94","2.15e-7","3.50e-8","-1.74","-","85.90","1e-8","0","bin104.log"
"Jun 14 2009","2454996.999988426","266673601","93.26","1.44e-7","3.40e-8","-1.74","-","82.89","1e-8","0","bin105.log"
"Jun 17 2009","2454999.999988426","266932801","144.07","1.75e-7","3.40e-8","-1.74","-","79.88","1e-8","0","bin106.log"
"Jun 20 2009","2455002.999988426","267192001","86.19","1.22e-7","3.29e-8","-1.74","-","76.86","1e-8","0","bin107.log"
"Jun 23 2009","2455005.999988426","267451201","59.06","1.33e-7","3.49e-8","-1.74","-","73.85","1e-8","0","bin108.log"
"Jun 26 2009","2455008.999988426","267710401","82.5","1.92e-7","4.50e-8","-1.74","-","70.84","1e-8","0","bin109.log"
"Jun 29 2009","2455011.999988426","267969601","64.8","1.36e-7","3.72e-8","-1.74","-","67.85","1e-8","0","bin110.log"
"Jul 02 2009","2455014.999988426","268228801","136.99","2.28e-7","4.90e-8","-1.74","-","64.87","1e-8","0","bin111.log"
"Jul 05 2009","2455017.999988426","268488001","150.35","2.60e-7","5.20e-8","-1.74","-","61.93","1e-8","0","bin112.log"
"Jul 08 2009","2455020.999988426","268747201","28.9","9.76e-8","3.53e-8","-1.74","-","59.02","1e-8","0","bin113.log"
"Jul 11 2009","2455023.999988426","269006401","76.55","1.18e-7","3.19e-8","-1.74","-","56.15","1e-8","0","bin114.log"
"Jul 14 2009","2455026.999988426","269265601","91.35","1.43e-7","3.40e-8","-1.74","-","53.34","1e-8","0","bin115.log"
"Jul 17 2009","2455029.999988426","269524801","111.73","1.45e-7","3.30e-8","-1.74","-","50.59","1e-8","0","bin116.log"
"Jul 20 2009","2455032.999988426","269784001","122.79","1.51e-7","3.40e-8","-1.74","-","47.91","1e-8","0","bin117.log"
"Jul 23 2009","2455035.999988426","270043201","147.01","1.94e-7","3.70e-8","-1.74","-","45.31","1e-8","0","bin118.log"
"Jul 26 2009","2455038.999988426","270302401","128.96","1.29e-7","2.92e-8","-1.74","-","42.82","1e-8","0","bin119.log"
"Jul 29 2009","2455041.999988426","270561601","108.45","1.31e-7","3.00e-8","-1.74","-","40.44","1e-8","0","bin120.log"
"Aug 01 2009","2455044.999988426","270820801","75.16","8.43e-8","2.37e-8","-1.74","-","38.20","1e-8","0","bin121.log"
"Aug 04 2009","2455047.999988426","271080001","40.57","6.57e-8","2.36e-8","-1.74","-","36.12","1e-8","0","bin122.log"
"Aug 07 2009","2455050.999988426","271339201","130.36","1.81e-7","3.70e-8","-1.74","-","34.23","1e-8","0","bin123.log"
"Aug 10 2009","2455053.999988426","271598401","112.36","1.83e-7","3.90e-8","-1.74","-","32.55","1e-8","0","bin124.log"
"Aug 13 2009","2455056.999988426","271857601","73.71","1.28e-7","3.30e-8","-1.74","-","31.12","1e-8","0","bin125.log"
"Aug 16 2009","2455059.999988426","272116801","110.71","1.67e-7","3.90e-8","-1.74","-","29.97","1e-8","0","bin126.log"
"Aug 19 2009","2455062.999988426","272376001","41.1","1.19e-7","3.74e-8","-1.74","-","29.12","1e-8","0","bin127.log"
"Aug 22 2009","2455065.999988426","272635201","83.77","1.51e-7","4.10e-8","-1.74","-","28.60","1e-8","0","bin128.log"
"Aug 25 2009","2455068.999988426","272894401","75.87","1.49e-7","4.00e-8","-1.74","-","28.41","1e-8","0","bin129.log"
